topic_id,DFID region,score,share,total_score,total_share,deviation,id,title,top_words,Topic ID,Aggregated meta-topic,Aggregated topic,Topic,color,short_title
213176,Central and Eastern Asia,12.873997056932431,0.00919177505993393,42.33482289202391,0.008466683395648869,1.0856405785360648,213176,"Dust storm, Dust storms","['dust', 'storm', 'desert', 'sourc', 'event', 'asian', 'saharan', 'miner', 'aerosol', 'road']",213176,Exposure,Drought,Dust storms,#fbb4ae,Dust storm
213156,Central and Eastern Asia,11.61656823297661,0.008293996160920171,37.92251643569399,0.007584251410386893,1.0935813849157556,213156,"Influenza, Influenza","['influenza', 'epidem', 'week', 'activ', 'virus', 'pandem', 'vaccin', 'ili', 'surveil', 'temper']",213156,Health impact,Infectious,Influenza,#fed9a6,Influenza
213124,Central and Eastern Asia,29.5420046580646,0.021092397367780083,95.18658130320193,0.019036684042919173,1.1079869435362901,213124,"NOx/Vehicles, Emissions (NOx & vehicles)","['emiss', 'nox', 'vehicl', 'sourc', 'fuel', 'reduct', 'ship', 'carbon', 'contribut', 'transport']",213124,Exposure,Emissions,Emissions (Nox & vehicles),#fbb4ae,NOx/Vehicles
213183,Central and Eastern Asia,11.828443624078725,0.008445270930297058,37.70882019346359,0.007541513581285319,1.1198376611366798,213183,"Asthma, Asthma","['asthma', 'childhood', 'exacerb', 'allerg', 'rhiniti', 'thunderstorm', 'associ', 'smoke', 'asthmat', 'preval']",213183,Health impact,Respiratory,Asthma,#fed9a6,Asthma
213136,Central and Eastern Asia,22.03259853637978,0.015730832377593217,70.20987810906284,0.014041509296322809,1.1203092235756171,213136,"Hospital, Hospital admissions","['hospit', 'admiss', 'respiratori', 'associ', 'ami', 'pneumonia', 'daili', 'cardiovascular', 'copd', 'increas']",213136,Health impact,Health system demand,Hospital admissions,#fed9a6,Hospital
213165,Central and Eastern Asia,12.385523401789099,0.008843014691190216,39.178048074058076,0.007835349398970938,1.1286050233256504,213165,"PAH, Polycyclic aromatic hydrocarbons ","['pah', 'sourc', 'combust', 'aromat', 'hydrocarbon', 'polycycl', 'sampl', 'cancer', 'burn', 'biomass']",213165,Exposure,Emissions,PAH,#fbb4ae,PAH
213163,Central and Eastern Asia,27.35050318967129,0.019527709380676724,82.59280879847552,0.016518013188282492,1.1822069130280901,213163,"Incidence, Disease incidence","['incid', 'rate', 'provinc', 'per', 'irr', 'annual', 'year', 'correl', 'week', 'increas']",213163,Other,Methods,Disease incidence,#bdbdbd,Incidence
213177,Central and Eastern Asia,25.19153840270836,0.01798625192994697,72.44406093459777,0.014488331022258607,1.2414302173462535,213177,"Death, Death","['death', 'caus', 'excess', 'estim', 'attribut', 'fatal', 'year', 'number', 'rate', 'prematur']",213177,Health impact,All-cause mortality,Death,#fed9a6,Death
213150,Central and Eastern Asia,35.00174821797155,0.024990544498438624,99.4615382540734,0.019891647039348207,1.2563335981683241,213150,"Particulates, Particle concentration (air)","['concentr', 'particl', 'site', 'aerosol', 'mass', 'measur', 'dure', 'sourc', 'carbon', 'averag']",213150,Exposure,Emissions,Particulate concentration (air),#fbb4ae,Particulates
213175,Central and Eastern Asia,9.649796557594986,0.006889760727712384,25.616040573332043,0.005123037976033672,1.3448584140784632,213175,"Suicide, Suicide","['suicid', 'associ', 'rate', 'attempt', 'male', 'men', 'hang', 'adjust', 'sunshin', 'studi']",213175,Health impact,Mental health,Suicide,#fed9a6,Suicide
213166,Central and Eastern Asia,25.603154606475496,0.01828013762366896,67.66707669182229,0.013532965901853117,1.3507857594738928,213166,"Warming, Increasing temperature","['degre', 'increas', 'temperatur', 'threshold', 'warm', 'maximum', 'abov', 'mean', 'per', 'averag']",213166,Exposure,Heat,Increasing temperatures,#fbb4ae,Warming
213154,Central and Eastern Asia,41.80565052754419,0.029848393951315413,107.88727479891851,0.021576738385597642,1.3833598673671206,213154,"Meteorology, Meteorological variables","['meteorolog', 'humid', 'correl', 'wind', 'factor', 'pressur', 'relat', 'speed', 'weather', 'atmospher']",213154,Exposure,General seasonality & weather,Meteorological variables,#fbb4ae,Meteorology
213159,Central and Eastern Asia,20.19677252665481,0.014420089516930424,51.18802604005537,0.010237265223354273,1.40858805572741,213159,"Health facilities, Visit to health care facilities","['visit', 'emerg', 'outpati', 'depart', 'respiratori', 'room', 'increas', 'hospit', 'associ', 'daili']",213159,Health impact,Health system demand,Visits to health care facilities,#fed9a6,Health facilities
213123,Central and Eastern Asia,55.6858442795923,0.039758573221429894,120.81875832905361,0.02416294920228041,1.6454354511359741,213123,"Air pollution, Air pollution","['pollut', 'air', 'qualiti', 'dioxid', 'level', 'citi', 'particul', 'effect', 'matter', 'nitrogen']",213123,Health impact,Respiratory,Air pollution,#fed9a6,Air pollution
213140,Central and Eastern Asia,54.168464400141,0.038675194495249775,116.62575375262,0.023324376136421226,1.6581448639416385,213140,"Temperature, Ambient temperature","['temperatur', 'effect', 'ambient', 'daili', 'mean', 'percentil', 'high', 'nonlinear', 'associ', 'minimum']",213140,Exposure,Heat,Ambient temperature,#fbb4ae,Temperature
213125,Central and Eastern Asia,48.547043272336474,0.03466161283172785,102.61671428753301,0.020522661289743824,1.688943375440784,213125,"Mortality, Mortality","['mortal', 'cardiovascular', 'allcaus', 'respiratori', 'excess', 'rate', 'estim', 'daili', 'increas', 'citi']",213125,Health impact,All-cause mortality,Mortality,#fed9a6,Mortality
213130,Central and Eastern Asia,65.621503711885,0.046852434294247805,106.79073617147658,0.02135743794318574,2.193729155101979,213130,"PM2.5-10, Particulate matter","['particulatematt', 'particul', 'matter', 'concentr', 'fine', 'pollut', 'diamet', 'μgm', 'level', 'respect']",213130,Exposure,Emissions,Particulate matter,#fbb4ae,PM2.5-10
213145,Central and Eastern Asia,58.85712997531028,0.042022807447748056,93.44365219501358,0.01868810979760512,2.2486387281999636,213145,"Temporal, Temporal analyses","['day', 'lag', 'associ', 'daili', 'effect', 'week', 'cumul', 'model', 'nonlinear', 'increas']",213145,Other,Methods,Temporal analyses,#bdbdbd,Temporal
213155,Central and Eastern Asia,19.960162109874247,0.014251154436530274,31.117389400543868,0.006223271202184768,2.289978047482039,213155,"Stroke, Stroke","['stroke', 'ischem', 'hemorrhag', 'associ', 'subtyp', 'day', 'onset', 'ich', 'sah', 'cerebrovascular']",213155,Health impact,Chronic,Stroke,#fed9a6,Stroke
213182,Central and Eastern Asia,34.84249116093569,0.0248768381616648,53.732182020005915,0.01074607952136912,2.314968739268675,213182,"Cold, Cold & extreme temperatures","['cold', 'spell', 'hot', 'wave', 'extrem', 'cvd', 'winter', 'effect', 'attribut', 'coldrel']",213182,Exposure,Heat,Cold & extreme temperatures,#fbb4ae,Cold
213171,Central and Eastern Asia,19.997147786467266,0.014277561466000538,20.20282776066396,0.004040431367402612,3.5336725630805246,213171,"DTR, Diurnal temperature range","['dtr', 'diurnal', 'effect', 'rang', 'childhood', 'elder', 'nonaccident', 'modifi', 'hefei', 'nonlinear']",213171,Exposure,Heat,Diurnal temperature range,#fbb4ae,DTR
213191,Central and Eastern Asia,94.49178157213312,0.0674652322338197,67.48700510028993,0.013496952779560305,4.998552883432222,213191,"China, China","['china', 'provinc', 'haze', 'hfrs', 'chines', 'region', 'control', 'north', 'guangzhou', 'mainland']",213191,Mediating pathways,Geographic exposure,China,#b3cde3,China
213148,Central and Eastern Asia,45.80600620373651,0.03270456747478919,29.219310855491994,0.00584366809998174,5.596581961061647,213148,"HFMD, Hand-foot-and-mouth disease","['hfmd', 'foot', 'mouth', 'hand', 'factor', 'diseas', 'meteorolog', 'childhood', 'humid', 'relat']",213148,Health impact,Infectious,HFMD,#fed9a6,HFMD
213148,"Eastern and Southern
Europe (excluding Russia)",0.09226103372197574,0.000237823361529099,29.219310855491994,0.00584366809998174,0.04069761619929135,213148,"HFMD, Hand-foot-and-mouth disease","['hfmd', 'foot', 'mouth', 'hand', 'factor', 'diseas', 'meteorolog', 'childhood', 'humid', 'relat']",213148,Health impact,Infectious,HFMD,#fed9a6,HFMD
213180,"Eastern and Southern
Europe (excluding Russia)",0.18745636353744458,0.0004832105247253152,25.299772013759384,0.005059786364736531,0.09550018318816442,213180,"Cholera, Cholera","['cholera', 'outbreak', 'epidem', 'nino', 'vibrio', 'rainfal', 'haiti', 'enso', 'bangladesh', 'sanit']",213180,Health impact,Infectious,Cholera,#fed9a6,Cholera
213152,"Eastern and Southern
Europe (excluding Russia)",0.4231653707925704,0.0010908029847992641,46.77409061189666,0.009354507454545972,0.11660720675027855,213152,"Food, Food insecurity","['food', 'insecur', 'secur', 'hunger', 'nutrit', 'agricultur', 'product', 'africa', 'price', 'countri']",213152,Health impact,Food & nutrition,Food insecurity,#fed9a6,Food
213167,"Eastern and Southern
Europe (excluding Russia)",0.5973624706370888,0.0015398348044348992,60.59918110393669,0.012119433728380735,0.12705501254806853,213167,"Hurricane, Hurricanes","['hurrican', 'evacu', 'sandi', 'storm', 'katrina', 'new', 'recoveri', 'york', 'resid', 'damag']",213167,Exposure,Extreme precipitation & flooding,Hurricanes,#fbb4ae,Hurricane
213126,"Eastern and Southern
Europe (excluding Russia)",0.8359340399465472,0.0021548061557144092,76.53132476391538,0.015305756641011803,0.14078403350152596,213126,"Disaster, Natural disasters","['disast', 'natur', 'prepared', 'manag', 'respons', 'peopl', 'reduct', 'earthquak', 'emerg', 'affect']",213126,Intervention option,Disaster risk reduction,Disaster risk reduction,#ccebc5,Disaster
213172,"Eastern and Southern
Europe (excluding Russia)",0.7015014649886178,0.0018082762547829813,53.75251133304815,0.010750145248952738,0.1682094718635677,213172,"Mental, Mental health & PTSD","['mental', 'ptsd', 'disord', 'depress', 'stress', 'posttraumat', 'psycholog', 'anxieti', 'survivor', 'health']",213172,Health impact,Mental health,Mental health & PTSD,#fed9a6,Mental
213187,"Eastern and Southern
Europe (excluding Russia)",0.9692057907919343,0.00249834377397295,66.47240247747139,0.013294038993864084,0.18792962583651743,213187,"Household, Rural households","['household', 'stove', 'rural', 'fuel', 'cook', 'survey', 'use', 'incom', 'shock', 'biomass']",213187,Mediating pathways,Geographic exposure,Rural households,#b3cde3,Household
213139,"Eastern and Southern
Europe (excluding Russia)",1.2009962900460025,0.0030958354069978715,81.46214503349711,0.01629188794501832,0.19002312177972636,213139,"Resilience, Community resilience","['communiti', 'resili', 'social', 'local', 'particip', 'interview', 'knowledg', 'build', 'resid', 'percept']",213139,Intervention option,Developing community resilience,Community resilience,#ccebc5,Resilience
213127,"Eastern and Southern
Europe (excluding Russia)",1.0837479962638903,0.00279360181784428,72.18456023948877,0.014436432606808932,0.19351053642758528,213127,"Malaria, Malaria","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'control', 'anophel', 'elimin', 'intervent']",213127,Health impact,Infectious,Malaria,#fed9a6,Malaria
213143,"Eastern and Southern
Europe (excluding Russia)",1.1116204716529692,0.0028654493305346664,66.21897851994918,0.013243355885570813,0.21636882337781865,213143,"Water, Drinking water quality","['water', 'drink', 'sourc', 'suppli', 'contamin', 'qualiti', 'groundwat', 'sanit', 'sampl', 'coli']",213143,Health impact,WASH,Drinking water quality,#fed9a6,Water
213151,"Eastern and Southern
Europe (excluding Russia)",0.9996393681272588,0.002576793097303247,56.41497072831313,0.011282619444273546,0.228386068503896,213151,"Farmer, Farmers & agriculture","['farmer', 'crop', 'agricultur', 'farm', 'product', 'percept', 'yield', 'pest', 'smallhold', 'rice']",213151,Health impact,Food & nutrition,Farmers & agriculture,#fed9a6,Farmer
213133,"Eastern and Southern
Europe (excluding Russia)",1.8577776012023959,0.004788835505819631,71.81708175693267,0.014362939351045193,0.3334161196935742,213133,"Flood, Floods","['flood', 'damag', 'river', 'flash', 'event', 'impact', 'peopl', 'fatal', 'area', 'dysenteri']",213133,Exposure,Extreme precipitation & flooding,Floods,#fbb4ae,Flood
213191,"Eastern and Southern
Europe (excluding Russia)",1.811817916501563,0.004670364182993275,67.48700510028993,0.013496952779560305,0.34603100857447194,213191,"China, China","['china', 'provinc', 'haze', 'hfrs', 'chines', 'region', 'control', 'north', 'guangzhou', 'mainland']",213191,Mediating pathways,Geographic exposure,China,#b3cde3,China
213171,"Eastern and Southern
Europe (excluding Russia)",0.6409019311720064,0.0016520674604745126,20.20282776066396,0.004040431367402612,0.40888393100871867,213171,"DTR, Diurnal temperature range","['dtr', 'diurnal', 'effect', 'rang', 'childhood', 'elder', 'nonaccident', 'modifi', 'hefei', 'nonlinear']",213171,Exposure,Heat,Diurnal temperature range,#fbb4ae,DTR
